"Pincode","Delhivery","Delhivery Limitation","Fedex","Fedex Limitation","Dotzot","Dotzot Limitation","DTDC","Indiapost","Pref 1","Pref 2","Pref 3","Pref 4","Pref 5"
"570004","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570005","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570006","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570007","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570008","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570009","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570010","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570011","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570014","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570019","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570021","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570023","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"570024","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"110501","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110502","Y","19999","N","N","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110505","Y","19999","N","N","Y","24999","Y","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110510","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110601","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110602","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110603","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110604","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110605","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"110609","Y","19999","Y","4999999","N","N","N","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"462019","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"462028","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"462006","N","N","N","N","N","N","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"462012","N","N","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"462015","N","N","N","N","Y","24999","N","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"110072","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"342304","Y","19999","N","N","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
"110051","Y","19999","Y","4999999","Y","24999","Y","Y","Delhivery","DTDC","Fedex","Dotzot","Indiapost"
"400703","Y","19999","Y","4999999","Y","24999","Y","Y","Fedex","Delhivery","Dotzot","DTDC","Indiapost"
