575004,Fedex,4999999,1
575004,Dotzot,24999,3
575004,DTDC,0,4
575004,Indiapost,0,5
575005,Delhivery,19999,2
575005,Fedex,4999999,1
575005,Dotzot,24999,3
575005,DTDC,0,4
575005,Indiapost,0,5
575006,Delhivery,19999,2
575006,Fedex,4999999,1
575006,Dotzot,24999,3
575006,DTDC,0,4
575006,Indiapost,0,5
575007,Delhivery,19999,2
575007,Fedex,4999999,1
575007,Dotzot,24999,3
575007,DTDC,0,4
575007,Indiapost,0,5
575016,Delhivery,19999,2
575016,Fedex,4999999,1
575016,Indiapost,0,5
575017,Delhivery,19999,2
575017,Fedex,4999999,1
575017,Dotzot,24999,3
575017,DTDC,0,4
575017,Indiapost,0,5
575018,Delhivery,19999,2
575018,Fedex,4999999,1
575018,Dotzot,24999,3
575018,DTDC,0,4
575018,Indiapost,0,5
575020,Delhivery,19999,2
575020,Fedex,4999999,1
575020,Dotzot,24999,3
575020,DTDC,0,4
575020,Indiapost,0,5
110030,Delhivery,19999,1
110030,Fedex,4999999,3
110030,Dotzot,24999,4
110030,DTDC,0,2
110030,Indiapost,0,5
110070,Delhivery,19999,1
110070,Fedex,4999999,3
110070,Dotzot,24999,4
110070,DTDC,0,2
110070,Indiapost,0,5
380006,Delhivery,19999,2
380006,Fedex,4999999,1
380006,Dotzot,24999,3
380006,DTDC,0,4
380006,Indiapost,0,5
380009,Delhivery,19999,2
380009,Fedex,4999999,1
380009,Dotzot,24999,3
380009,DTDC,0,4
380009,Indiapost,0,5
380014,Delhivery,19999,2
380014,Fedex,4999999,1
380014,Dotzot,24999,3
380014,DTDC,0,4
380014,Indiapost,0,5
560088,Delhivery,19999,2
560088,Fedex,4999999,0
560088,Dotzot,24999,4
560088,DTDC,0,3
560088,Indiapost,0,5
560089,Delhivery,19999,2
560089,Fedex,4999999,0
560089,Dotzot,24999,4
560089,DTDC,0,3
560089,Indiapost,0,5
570001,Delhivery,19999,2
570001,Fedex,4999999,1
570001,Dotzot,24999,3
570001,DTDC,0,4
570001,Indiapost,0,5
570004,Delhivery,19999,2
570004,Fedex,4999999,1
570004,Dotzot,24999,3
570004,DTDC,0,4
570004,Indiapost,0,5
570005,Delhivery,19999,2
570005,Fedex,4999999,1
570005,Dotzot,24999,3
570005,DTDC,0,4
570005,Indiapost,0,5
570006,Delhivery,19999,2
570006,Fedex,4999999,1
570006,Dotzot,24999,3
570006,DTDC,0,4
570006,Indiapost,0,5
570007,Delhivery,19999,2
570007,Fedex,4999999,1
570007,Dotzot,24999,3
570007,DTDC,0,4
570007,Indiapost,0,5
570008,Delhivery,19999,2
570008,Fedex,4999999,1
570008,Dotzot,24999,3
570008,DTDC,0,4
570008,Indiapost,0,5
570009,Delhivery,19999,2
570009,Fedex,4999999,1
570009,Dotzot,24999,3
570009,DTDC,0,4
570009,Indiapost,0,5
570010,Delhivery,19999,2
570010,Fedex,4999999,1
570010,Dotzot,24999,3
570010,DTDC,0,4
570010,Indiapost,0,5
570011,Delhivery,19999,2
570011,Fedex,4999999,1
570011,Dotzot,24999,3
570011,DTDC,0,4
570011,Indiapost,0,5
570014,Delhivery,19999,2
570014,Fedex,4999999,1
570014,Dotzot,24999,3
570014,DTDC,0,4
570014,Indiapost,0,5
570019,Delhivery,19999,2
570019,Fedex,4999999,1
570019,Dotzot,24999,3
570019,DTDC,0,4
570019,Indiapost,0,5
570021,Delhivery,19999,2
570021,Fedex,4999999,1
570021,Dotzot,24999,3
570021,DTDC,0,4
570021,Indiapost,0,5
570023,Delhivery,19999,2
570023,Fedex,4999999,1
570023,Dotzot,24999,3
570023,DTDC,0,4
570023,Indiapost,0,5
570024,Delhivery,19999,2
570024,Fedex,4999999,1
570024,Dotzot,24999,3
570024,DTDC,0,4
570024,Indiapost,0,5
110501,Delhivery,19999,1
110501,Fedex,4999999,3
110501,Indiapost,0,5
110502,Delhivery,19999,1
110502,Indiapost,0,5
110505,Delhivery,19999,1
110505,Dotzot,24999,4
110505,DTDC,0,2
110505,Indiapost,0,5
110510,Delhivery,19999,1
110510,Fedex,4999999,3
110510,Indiapost,0,5
110601,Delhivery,19999,1
110601,Fedex,4999999,3
110601,Indiapost,0,5
110602,Delhivery,19999,1
110602,Fedex,4999999,3
110602,Indiapost,0,5
110603,Delhivery,19999,1
110603,Fedex,4999999,3
110603,Indiapost,0,5
110604,Delhivery,19999,1
110604,Fedex,4999999,3
110604,Indiapost,0,5
110605,Delhivery,19999,1
110605,Fedex,4999999,3
110605,Indiapost,0,5
110609,Delhivery,19999,1
110609,Fedex,4999999,3
110609,Indiapost,0,5
462019,Indiapost,0,5
462028,Indiapost,0,5
462006,Indiapost,0,5
462012,Dotzot,24999,3
462012,DTDC,0,4
462012,Indiapost,0,5
462015,Dotzot,24999,3
462015,Indiapost,0,5
110072,Delhivery,19999,1
110072,Fedex,4999999,3
110072,Dotzot,24999,4
110072,DTDC,0,2
110072,Indiapost,0,5
342304,Delhivery,19999,2
342304,Dotzot,24999,3
342304,DTDC,0,4
342304,Indiapost,0,5
110051,Delhivery,19999,1
110051,Fedex,4999999,3
110051,Dotzot,24999,4
110051,DTDC,0,2
110051,Indiapost,0,5
400703,Delhivery,19999,2
400703,Fedex,4999999,1
400703,Dotzot,24999,3
400703,DTDC,0,4
400703,Indiapost,0,5
110075,Delhivery,19999,1
110075,Fedex,4999999,3
110075,Dotzot,24999,4
110075,DTDC,0,2
110075,Indiapost,0,5
360001,Delhivery,19999,2
360001,Fedex,4999999,1
360001,Dotzot,24999,3
360001,DTDC,0,4
360001,Indiapost,0,5
360002,Delhivery,19999,2
360002,Fedex,4999999,1
360002,Dotzot,24999,3
360002,DTDC,0,4
360002,Indiapost,0,5
360003,Delhivery,19999,2
360003,Fedex,4999999,1
360003,Dotzot,24999,3
360003,DTDC,0,4
360003,Indiapost,0,5
360007,Delhivery,19999,2
360007,Fedex,4999999,1
360007,Dotzot,24999,3
360007,Indiapost,0,5
141007,Delhivery,19999,1
141007,Dotzot,24999,4
141007,DTDC,0,3
141007,Indiapost,0,5
141008,Delhivery,19999,1
141008,Dotzot,24999,4
141008,DTDC,0,3
141008,Indiapost,0,5
141010,Delhivery,19999,1
141010,Dotzot,24999,4
141010,DTDC,0,3
141010,Indiapost,0,5
141014,Delhivery,19999,1
141014,Dotzot,24999,4
141014,DTDC,0,3
141014,Indiapost,0,5
141005,Delhivery,19999,1
141005,DTDC,0,3
141005,Indiapost,0,5
141009,Delhivery,19999,1
141009,DTDC,0,3
141009,Indiapost,0,5
141011,Delhivery,19999,1
